지역,확진자,격리자,사망,의심환자,검사중,결과음성,자가격리자,감시중,감시해제,퇴원
서울,608,359,2,"96,988","5,318","91,670","39,084","2,943","17,029",249
대구,"6,946","1,117",155,-,-,-,"1,709",-,-,"5,674"
부산,127,16,3,-,-,-,-,-,-,108
대전,39,14,0,-,99,"11,065",961,66,895,25
광주,29,7,-,"10,673",42,"10,602","1,211",7,"1,204",22
울산,41,7,1,"9,604",87,"9,517","4,577",996,"3,581",34
인천,88,88,-,"27,569",336,"27,233",-,-,-,-
세종,46,22,-,-,-,-,355,-,-,24
경상북도,"1,352",267,54,-,440,3,-,686,"11,874",989
경상남도,111,31,-,"17,665",209,"17,456",-,-,-,80
경기도,649,298,14,-,-,-,-,-,-,337
충청북도,45,10,-,"15,029",73,"14,956","3,727","1,273","2,454",35
충청남도,139,24,0,-,385,"22,338",74,-,-,115
강원도,52,25,-,-,233,-,"1,223",-,-,27
전라북도,17,8,-,-,-,-,-,-,-,9
전라남도,15,14,-,-,546,"10,466",-,"1,214",681,1
제주도,13,8,0,-,49,-,0,-,-,5
